batch,response_id,slot,original_filename,local_path,sha256,bytes,mime,bucket,storage_path,status,public_url,notes
1,1t5gelxstepyanqp40l1ty481ttihapp,front,79a6f883_e8b1_424b_8306_08bbbcac9576.jpeg,1t5gelxstepyanqp40l1ty481ttihapp/c96b7e754eed-79a6f883_e8b1_424b_8306_08bbbcac9576front.jpeg,7d272495504d0d7ff03122c14f868b062e9c719a5a207bf9080539d2aaaa24b5,130934,image/jpeg,photos,typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/front.jpeg,"slot front read from the name, agrees with the export"
1,1t5gelxstepyanqp40l1ty481ttihapp,rear,79a6f883_e8b1_424b_8306_08bbbcac9576.jpeg,1t5gelxstepyanqp40l1ty481ttihapp/e3ac75d62ec2-79a6f883_e8b1_424b_8306_08bbbcac9576rear.jpeg,7d272495504d0d7ff03122c14f868b062e9c719a5a207bf9080539d2aaaa24b5,130934,image/jpeg,photos,typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/rear.jpeg,"slot rear read from the name, agrees with the export"
1,1t5gelxstepyanqp40l1ty481ttihapp,portrait,IMG_0488.jpeg,1t5gelxstepyanqp40l1ty481ttihapp/e6b874dafae5-IMG_0488.jpeg,4de43426f82d690774aac0c63cdec3836993d2dad7bedef3614defea2bd4925f,2536339,image/jpeg,photos,typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/portrait.jpeg,
1,1t5gelxstepyanqp40l1ty481ttihapp,cv,ALBERT.CV.pdf,1t5gelxstepyanqp40l1ty481ttihapp/ef094d2ad864-ALBERT.CV.pdf,ae463c717b8525cd4baa53fd35c20e4c7bcb633bc8204a4fd53082d3567c10dc,237274,application/pdf,cvs,typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/cv.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/1t5gelxstepyanqp40l1ty481ttihapp/cv.pdf,
1,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4,portrait,A9BDE63A_0943_4D0A_BA2B_CFD6D47F96E9.jpeg,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/35a1151212f0-A9BDE63A_0943_4D0A_BA2B_CFD6D47F96E9.jpeg,3eac6610f4604d68efd379f9c43c34ce36482383cc865adf8e7d7ebcf89ef129,127174,image/jpeg,photos,typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/portrait.jpeg,
1,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4,front,10F71A67_D7B6_4A40_A2EB_3B87F6F20C2C.jpeg,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/89dcce61d47d-10F71A67_D7B6_4A40_A2EB_3B87F6F20C2C.jpeg,e580adff173be3da58918caefb5e2998cb6e009e2a539211dc3fbdf9d62d6a56,193917,image/jpeg,photos,typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/front.jpeg,
1,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4,rear,AAEF6116_59CB_4CA6_8C47_AA9638664AB2.jpeg,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/9745b9804cf4-AAEF6116_59CB_4CA6_8C47_AA9638664AB2.jpeg,0a9a9f418752c6c50b3a65ee1fe9966574c52a6d27ea1eb2b6563db5b97ecc1f,60803,image/jpeg,photos,typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/rear.jpeg,
1,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4,cv,CURRICULUM_VITAE___DENNIS_MODZAKA_1.pdf,3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/f547a9682f09-CURRICULUM_VITAE___DENNIS_MODZAKA_1.pdf,9087a3097553367b69b022e5fb295a80e89a076031c5d9415979e65d77819503,597792,application/pdf,cvs,typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/cv.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/3xtgw054yyq8tf8m3xtgivf8aqf9rzf4/cv.pdf,
1,4o65yqal438vmp8exvrf4o65yqa6jt87,cv,trim.D4514734_6CF0_45B7_9E27_F3F3FE7E1A9C.MOV,4o65yqal438vmp8exvrf4o65yqa6jt87/21e2b3885387-trim.D4514734_6CF0_45B7_9E27_F3F3FE7E1A9C.MOV,c53290c5e0e2f2d19d797f2f3d07977e5e64297a9a6016cbd94fc92c5ce50126,4981309,video/quicktime,media,typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/cv.mov,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/media/typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/cv.mov,"non-document in CV slot, routed to photos bucket"
1,4o65yqal438vmp8exvrf4o65yqa6jt87,front,0B88D3C7_E4C7_4166_AE35_C7077CFC72E1.jpeg,4o65yqal438vmp8exvrf4o65yqa6jt87/73e672a5e478-0B88D3C7_E4C7_4166_AE35_C7077CFC72E1.jpeg,f4908107b8bf68806e49b8e6d685bd3660e74b24ae52c3fd75306d9a738b97d3,274772,image/jpeg,photos,typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/front.jpeg,
1,4o65yqal438vmp8exvrf4o65yqa6jt87,portrait,870CEE59_E56F_4658_BF20_A62FEBCEE93E.jpeg,4o65yqal438vmp8exvrf4o65yqa6jt87/9dfec25a7da4-870CEE59_E56F_4658_BF20_A62FEBCEE93E.jpeg,f4908107b8bf68806e49b8e6d685bd3660e74b24ae52c3fd75306d9a738b97d3,274772,image/jpeg,photos,typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/portrait.jpeg,
1,4o65yqal438vmp8exvrf4o65yqa6jt87,rear,E6C83893_641C_420D_931E_18E1A620F9F8.jpeg,4o65yqal438vmp8exvrf4o65yqa6jt87/be26bc90a31b-E6C83893_641C_420D_931E_18E1A620F9F8.jpeg,f4908107b8bf68806e49b8e6d685bd3660e74b24ae52c3fd75306d9a738b97d3,274772,image/jpeg,photos,typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/4o65yqal438vmp8exvrf4o65yqa6jt87/rear.jpeg,
1,4xidhyp88ksahapgl00hal84xidhyd80,front,IMG_2841.jpeg,4xidhyp88ksahapgl00hal84xidhyd80/91f227812940-IMG_2841.jpeg,7ba582f3d046f92c9f813898f40888f44be2edc6287d173c3802cb84343012b8,1666096,image/jpeg,photos,typeform-2024/4xidhyp88ksahapgl00hal84xidhyd80/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/4xidhyp88ksahapgl00hal84xidhyd80/front.jpeg,
1,4xidhyp88ksahapgl00hal84xidhyd80,rear,IMG_6198.jpeg,4xidhyp88ksahapgl00hal84xidhyd80/a69c972d039c-IMG_6198.jpeg,b09e22d7e855070eda7bad60861ad3e4780751aebee5c54af09a8d218c102dfb,29175,image/jpeg,photos,typeform-2024/4xidhyp88ksahapgl00hal84xidhyd80/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/4xidhyp88ksahapgl00hal84xidhyd80/rear.jpeg,
1,4xidhyp88ksahapgl00hal84xidhyd80,cv,IMG_8177.jpeg,4xidhyp88ksahapgl00hal84xidhyd80/af2348f77c97-IMG_8177.jpeg,aeb61d20cd1134b3a61abcf9779187f8629bee0a2e9e957244eb34dc9b15407f,685715,image/jpeg,photos,typeform-2024/4xidhyp88ksahapgl00hal84xidhyd80/cv.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/4xidhyp88ksahapgl00hal84xidhyd80/cv.jpeg,"non-document in CV slot, routed to photos bucket"
